$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0,0.03635714285714286,90.9848187176280,2,H,False
1.0,0.03635714285714286,60.7412588112305,2,S,False
1.0,0.03635714285714286,0.00272727272727273,2,N,False
1.0,0.03635714285714286,0.00752595413724080,2,C,False
1.0,0.03635714285714286,90.9848187176280,3,H,True
1.0,0.03635714285714286,17.8659901809891,3,S,True
1.0,0.03635714285714286,0.00272727272727273,3,N,True
1.0,0.03635714285714286,0.0358000789206105,3,C,True
1.0,0.04342857142857143,,0,H,False
1.0,0.04342857142857143,,0,S,False
1.0,0.04342857142857143,,0,N,False
1.0,0.04342857142857143,,0,C,False
1.0,0.04342857142857143,,1,H,False
1.0,0.04342857142857143,,1,S,False
1.0,0.04342857142857143,,1,N,False
1.0,0.04342857142857143,,1,C,False
1.0,0.04342857142857143,95.7093301435406,2,H,False
1.0,0.04342857142857143,63.8953319337873,2,S,False
1.0,0.04342857142857143,0.00272727272727273,2,N,False
1.0,0.04342857142857143,0.00752595413724080,2,C,False
1.0,0.04342857142857143,95.7093301435406,3,H,True
1.0,0.04342857142857143,18.7937062102674,3,S,True
1.0,0.04342857142857143,0.00272727272727273,3,N,True
1.0,0.04342857142857143,0.0358000789206105,3,C,True
1.0,0.0505,,0,H,False
1.0,0.0505,,0,S,False
1.0,0.0505,,0,N,False
1.0,0.0505,,0,C,False
1.0,0.0505,,1,H,False
1.0,0.0505,,1,S,False
1.0,0.0505,,1,N,False
1.0,0.0505,,1,C,False
1.0,0.0505,99.1107110711070,2,H,False
1.0,0.0505,66.1660861337610,2,S,False
1.0,0.0505,0.00272727272727273,2,N,False
1.0,0.0505,0.00752595413724081,2,C,False
1.0,0.0505,99.1107110711070,3,H,True
1.0,0.0505,19.4616092638780,3,S,True
1.0,0.0505,0.00272727272727273,3,N,True
1.0,0.0505,0.0358000789206105,3,C,True
1.0,0.05757142857142857,,0,H,False
1.0,0.05757142857142857,,0,S,False
1.0,0.05757142857142857,,0,N,False
1.0,0.05757142857142857,,0,C,False
1.0,0.05757142857142857,,1,H,False
1.0,0.05757142857142857,,1,S,False
1.0,0.05757142857142857,,1,N,False
1.0,0.05757142857142857,,1,C,False
1.0,0.05757142857142857,101.676517031356,2,H,False
1.0,0.05757142857142857,67.8790123789025,2,S,False
1.0,0.05757142857142857,0.00272727272727273,2,N,False
1.0,0.05757142857142857,0.00752595413724079,2,C,False
1.0,0.05757142857142857,101.676517031356,3,H,True
1.0,0.05757142857142857,19.9654368775197,3,S,True
1.0,0.05757142857142857,0.00272727272727273,3,N,True
1.0,0.05757142857142857,0.0358000789206105,3,C,True
1.0,0.06464285714285714,8.61878453038674,0,H,False
1.0,0.06464285714285714,0.0,0,S,False
1.0,0.06464285714285714,0.0180900000000000,0,N,False
1.0,0.06464285714285714,0.150000000000000,0,C,False
1.0,0.06464285714285714,8.61878453038674,1,H,True
1.0,0.06464285714285714,21.1551983927675,1,S,True
1.0,0.06464285714285714,0.0180900000000000,1,N,True
1.0,0.06464285714285714,0.00272727272727273,1,C,True
1.0,0.06464285714285714,103.680964339528,2,H,False
1.0,0.06464285714285714,69.2171768599134,2,S,False
1.0,0.06464285714285714,0.00272727272727273,2,N,False
1.0,0.06464285714285714,0.00752595413724082,2,C,False
1.0,0.06464285714285714,103.680964339528,3,H,True
1.0,0.06464285714285714,20.3590348033150,3,S,True
